y	x1	x2	x3	x4	x5
2625	20	50	60	B	0
2928	20	75	40	A	0
2823	15	50	60	B	1
2824	15	75	60	C	0
2604	20	60	60	B	0
2770	30	60	80	C	1
2797	25	50	40	C	0
2778	10	75	40	A	0
2838	15	60	40	B	1
2766	20	50	40	A	1
2686	30	75	80	B	0
2746	20	75	40	B	0
2935	20	75	60	B	1
2694	10	50	40	B	0
2849	25	60	60	A	1
2648	10	60	60	B	0
2856	10	50	40	A	1
2797	30	60	40	B	0
2859	20	75	40	A	0
2749	15	75	40	C	1
2577	15	50	80	B	1
2943	10	60	40	A	1
2951	20	50	40	C	1
2895	25	60	40	B	1
2827	10	75	60	C	0
2588	20	75	60	B	0
2770	30	50	80	C	0
2946	25	75	60	C	0
2768	15	60	80	A	1
2886	30	50	40	B	0
2599	10	50	40	C	1
2714	10	60	40	A	0
2893	15	75	40	A	0
2866	20	50	40	C	1
2520	25	60	80	B	0
3054	30	60	40	C	1
2749	30	50	40	B	1
2613	20	60	80	B	1
2565	10	50	80	B	0
2908	15	50	60	A	1
2782	30	60	40	B	1
2831	30	50	40	A	1
2988	25	75	40	A	1
2753	30	50	60	A	1
2758	15	50	40	B	1
2794	10	60	60	B	1
2813	10	50	40	C	0
2874	20	60	40	C	0
2598	10	50	80	A	0
2584	30	50	80	B	0
2687	10	50	60	B	0
2887	15	75	60	C	0
3013	25	75	40	C	1
2706	25	60	80	C	0
2694	20	50	40	C	1
2822	10	60	40	B	0
2832	15	75	60	A	0
2795	10	60	40	A	0
2895	15	75	60	C	1
2828	25	60	60	A	1
2814	30	75	60	B	1
2726	30	50	60	B	1
2626	20	50	80	C	1
2716	10	50	80	B	0
2775	25	50	80	A	1
2889	10	75	80	C	1
2838	10	60	40	A	0
2766	20	50	80	A	0
2727	25	60	80	C	1
2475	10	50	80	B	0
2945	20	75	60	A	1
2761	30	75	80	A	0
2774	20	50	80	B	0
2506	15	60	80	B	0
2687	30	75	40	B	0
2853	30	50	40	B	1
2942	20	75	80	A	1
2893	15	60	60	C	1
2766	15	50	80	C	1
2658	15	50	60	B	0
2765	25	50	40	C	1
2752	15	50	60	C	0
2607	15	50	60	C	0
2806	25	75	60	B	1
2625	25	60	40	C	0
2697	10	60	40	C	0
2778	20	60	40	B	0
2743	20	75	80	B	0
2629	10	50	80	C	0
2736	20	60	40	B	1
3021	30	60	40	C	1
2538	15	50	80	B	1
2724	20	60	40	B	0
2612	15	50	80	A	0
2557	30	50	60	B	0
2933	30	60	40	C	1
2906	20	75	40	A	1
2784	25	50	80	A	1
2967	25	75	60	C	1
2634	25	50	80	B	0
